state,district,year,season,crop,area,production,yield
West Bengal,24 paraganas south,1998,whole year,potato,1286.0,19604.0,15.244167962674961
West Bengal,24 paraganas south,1998,whole year,sesamum,1610.0,1710.0,1.062111801242236
West Bengal,24 paraganas south,1998,whole year,sugarcane,308.0,20270.0,65.81168831168831
West Bengal,24 paraganas south,1998,whole year,turmeric,350.0,210.0,0.6
West Bengal,24 paraganas south,1998,winter,rice,363033.0,500380.0,1.3783319973666306
West Bengal,24 paraganas south,1999,autumn,dry chillies,669.0,268.0,0.40059790732436473
West Bengal,24 paraganas south,1999,autumn,rice,5314.0,10920.0,2.0549491908167106
West Bengal,24 paraganas south,1999,kharif,cotton(lint),750.0,2040.0,2.72
West Bengal,24 paraganas south,1999,kharif,dry ginger,134.0,450.0,3.3582089552238807
West Bengal,24 paraganas south,1999,kharif,jute,538.0,7650.0,14.219330855018587
West Bengal,24 paraganas south,1999,kharif,moong(green gram),80.0,56.0,0.7
West Bengal,24 paraganas south,1999,kharif,sunflower,130.0,79.0,0.6076923076923076
West Bengal,24 paraganas south,1999,kharif,urad,7.0,5.0,0.7142857142857143
West Bengal,24 paraganas south,1999,rabi,dry chillies,15997.0,6399.0,0.40001250234418956
West Bengal,24 paraganas south,1999,rabi,gram,7.0,6.0,0.8571428571428571
West Bengal,24 paraganas south,1999,rabi,khesari,3214.0,2951.0,0.9181705040448039
West Bengal,24 paraganas south,1999,rabi,masoor,1157.0,468.0,0.4044943820224719
West Bengal,24 paraganas south,1999,rabi,moong(green gram),300.0,330.0,1.1
West Bengal,24 paraganas south,1999,rabi,peas & beans (pulses),729.0,684.0,0.9382716049382716
West Bengal,24 paraganas south,1999,rabi,rapeseed &mustard,3143.0,2793.0,0.888641425389755
West Bengal,24 paraganas south,1999,rabi,urad,400.0,300.0,0.75
West Bengal,24 paraganas south,1999,rabi,wheat,2093.0,2841.0,1.3573817486860966
West Bengal,24 paraganas south,1999,summer,groundnut,30.0,28.0,0.9333333333333333
West Bengal,24 paraganas south,1999,summer,moong(green gram),1723.0,500.0,0.2901915264074289
West Bengal,24 paraganas south,1999,summer,rice,76997.0,216290.0,2.809070483265582
West Bengal,24 paraganas south,1999,summer,sesamum,2612.0,2630.0,1.0068912710566615
West Bengal,24 paraganas south,1999,whole year,arecanut,810.0,1620.0,2.0
West Bengal,24 paraganas south,1999,whole year,coconut,3485.0,41820.0,12.0
West Bengal,24 paraganas south,1999,whole year,sugarcane,28.0,1660.0,59.285714285714285
West Bengal,24 paraganas south,1999,whole year,turmeric,389.0,214.0,0.5501285347043702
West Bengal,24 paraganas south,1999,winter,potato,5432.0,92946.0,17.11082474226804
West Bengal,24 paraganas south,1999,winter,rice,373726.0,705620.0,1.8880677287638536
West Bengal,24 paraganas south,2000,autumn,rice,6927.0,12540.0,1.8103074924209615
West Bengal,24 paraganas south,2000,kharif,cotton(lint),1188.0,2732.0,2.2996632996632997
West Bengal,24 paraganas south,2000,kharif,dry ginger,219.0,88.0,0.4018264840182648
